level_key,features_set,K,classifier,grid_F1,grid_params,precision,recall,f1_score
Level1,sum_features_help_received,1,Logistic regression,0.8407817854382819,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.5723214285714285,0.5666666666666667,0.5474313022700119
Level1,sum_features_help_received,1,SVM,0.8727191436051918,"{'svm_gaussian_clf__C': 10.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.790718954248366,0.7,0.6955952380952383
Level1,sum_features_help_received,1,Random Forest,0.8952182210015275,"{'random_forest_clf__max_depth': 12, 'random_forest_clf__n_estimators': 200}",0.8384313725490196,0.8333333333333334,0.8279761904761904
Level1,sum_features_help_received,2,Dummy random,,,0.4263492063492063,0.2,0.24571428571428566
Level1,sum_features_help_received,2,Ordered baseline,,,0.7841614906832298,0.42857142857142855,0.45835222978080115
Level1,sum_features_help_received,2,Naive Bayes,0.6597858188699707,{'naive_bayes_clf__alpha': 0.01},0.676399790685505,0.5714285714285714,0.6020037105751391
Level1,sum_features_help_received,2,Logistic regression,0.8087328355694694,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.7608766233766234,0.7428571428571429,0.7462450592885375
Level1,sum_features_help_received,2,SVM,0.8823907075945616,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.7338095238095238,0.6857142857142857,0.6964749536178108
Level1,sum_features_help_received,2,Random Forest,0.8889873368123876,"{'random_forest_clf__max_depth': 12, 'random_forest_clf__n_estimators': 100}",0.7943485086342229,0.7714285714285715,0.774132104454685
Level1,sum_features_help_received,3,Dummy random,,,0.3313797313797314,0.2,0.21680868838763576
Level1,sum_features_help_received,3,Ordered baseline,,,0.9478260869565218,0.4,0.3874978354978355
Level1,sum_features_help_received,3,Naive Bayes,0.691742286658253,{'naive_bayes_clf__alpha': 0.01},0.8978354978354978,0.6571428571428571,0.7041035769146368
Level1,sum_features_help_received,3,Logistic regression,0.8311037115875299,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.8204081632653062,0.7428571428571429,0.7434920634920635
Level1,sum_features_help_received,3,SVM,0.8705657882708968,"{'svm_gaussian_clf__C': 10.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.8095238095238095,0.6571428571428571,0.6984317937701398
Level1,sum_features_help_received,3,Random Forest,0.8881308695727095,"{'random_forest_clf__max_depth': 12, 'random_forest_clf__n_estimators': 50}",0.8123249299719888,0.7714285714285715,0.7792891319207108
Level1,sum_features_help_received,4,Dummy random,,,0.38531691746466024,0.23255813953488372,0.24228967458582912
Level1,sum_features_help_received,4,Ordered baseline,,,0.8794142980189491,0.5348837209302325,0.5502965631447363
Level1,sum_features_help_received,4,Naive Bayes,0.68582347738802,{'naive_bayes_clf__alpha': 0.01},0.7954428000939627,0.7209302325581395,0.7391387335800269
Level1,sum_features_help_received,4,Logistic regression,0.8298426573108376,"{'logistic_regression_clf__C': 10.0, 'logistic_regression_clf__max_iter': 200}",0.7845699520118126,0.7674418604651163,0.7714914930031209
Level1,sum_features_help_received,4,SVM,0.8578871947639455,"{'svm_gaussian_clf__C': 10.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.6795865633074936,0.6744186046511628,0.6745340590466767
Level1,sum_features_help_received,4,Random Forest,0.8774374354016473,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 200}",0.7960535588442567,0.7906976744186046,0.7865296034153466
Level1,sum_features_help_requested,0,Dummy random,,,0.3181818181818182,0.24242424242424243,0.260084118779771
Level1,sum_features_help_requested,0,Ordered baseline,,,0.07939393939393939,0.21212121212121213,0.11363636363636363
Level1,sum_features_help_requested,0,Naive Bayes,0.730271138715511,{'naive_bayes_clf__alpha': 0.01},0.7165945165945168,0.6666666666666666,0.6786699890148165
Level1,sum_features_help_requested,0,Logistic regression,0.8138119115405642,"{'logistic_regression_clf__C': 10.0, 'logistic_regression_clf__max_iter': 200}",0.552813852813853,0.5454545454545454,0.5379158851406683
Level1,sum_features_help_requested,0,SVM,0.885983852178574,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.6178451178451179,0.6060606060606061,0.5897186147186148
Level1,sum_features_help_requested,0,Random Forest,0.8795036544266621,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 200}",0.5994560994560996,0.5757575757575758,0.565879574970484
Level1,sum_features_help_requested,1,Dummy random,,,0.31333333333333335,0.26666666666666666,0.2773809523809524
Level1,sum_features_help_requested,1,Ordered baseline,,,0.13333333333333333,0.3,0.1822222222222222
Level1,sum_features_help_requested,1,Naive Bayes,0.6924712576235347,{'naive_bayes_clf__alpha': 0.01},0.4772727272727273,0.36666666666666664,0.3742521367521367
Level1,sum_features_help_requested,1,Logistic regression,0.8243011884629532,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.6292436974789916,0.5666666666666667,0.555324074074074
Level1,sum_features_help_requested,1,SVM,0.851634656815197,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.7805555555555554,0.6333333333333333,0.5842490842490842
Level1,sum_features_help_requested,1,Random Forest,0.8987687029533378,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 200}",0.8074074074074074,0.8,0.7920202020202021
Level1,sum_features_help_requested,2,Dummy random,,,0.20619047619047623,0.11428571428571428,0.10790352504638216
Level1,sum_features_help_requested,2,Ordered baseline,,,0.08405797101449276,0.2,0.11428571428571428
Level1,sum_features_help_requested,2,Naive Bayes,0.6332444637445438,{'naive_bayes_clf__alpha': 0.01},0.6053968253968253,0.45714285714285713,0.5032804232804233
Level1,sum_features_help_requested,2,Logistic regression,0.8029297180949524,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.7211721611721611,0.7142857142857143,0.7140000000000001
Level1,sum_features_help_requested,2,SVM,0.8914130273988018,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.7431761221234906,0.7428571428571429,0.7399783101646455
Level1,sum_features_help_requested,2,Random Forest,0.8971291836936655,"{'random_forest_clf__max_depth': 12, 'random_forest_clf__n_estimators': 100}",0.7943485086342229,0.7714285714285715,0.774132104454685
Level1,sum_features_help_requested,3,Dummy random,,,0.40607091321377037,0.2857142857142857,0.3092773600668337
Level1,sum_features_help_requested,3,Ordered baseline,,,0.0047619047619047615,0.02857142857142857,0.008163265306122448
Level1,sum_features_help_requested,3,Naive Bayes,0.6633587829071022,{'naive_bayes_clf__alpha': 0.01},0.8389610389610389,0.5714285714285714,0.6332506203473947
Level1,sum_features_help_requested,3,Logistic regression,0.8264910273836801,"{'logistic_regression_clf__C': 100.0, 'logistic_regression_clf__max_iter': 200}",0.7182363854632763,0.6857142857142857,0.6851891633846521
Level1,sum_features_help_requested,3,SVM,0.8753549862160543,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.7051948051948052,0.5714285714285714,0.6202026202026202
Level1,sum_features_help_requested,3,Random Forest,0.8738892767572002,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.810551948051948,0.7428571428571429,0.7542415885273029
Level1,sum_features_help_requested,4,Dummy random,,,0.3654485049833887,0.16279069767441862,0.20682170542635658
Level1,sum_features_help_requested,4,Ordered baseline,,,0.03423772609819121,0.11627906976744186,0.05072759417924656
Level1,sum_features_help_requested,4,Naive Bayes,0.6548112403901386,{'naive_bayes_clf__alpha': 0.1},0.6495527386430258,0.5581395348837209,0.5830885352917177
Level1,sum_features_help_requested,4,Logistic regression,0.8277348184374329,"{'logistic_regression_clf__C': 10.0, 'logistic_regression_clf__max_iter': 200}",0.7164082687338502,0.6976744186046512,0.7005201958384333
Level1,sum_features_help_requested,4,SVM,0.8427198551871754,"{'svm_gaussian_clf__C': 10.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.6573255813953488,0.6511627906976745,0.648969808241534
Level1,sum_features_help_requested,4,Random Forest,0.8727362908385317,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.7960535588442567,0.7906976744186046,0.7865296034153466
Level1,sum_features_nohelp,0,Dummy random,,,0.5843499934409027,0.30303030303030304,0.31248691057303496
Level1,sum_features_nohelp,0,Ordered baseline,,,0.0,0.0,0.0
Level1,sum_features_nohelp,0,Naive Bayes,0.7186191438318923,{'naive_bayes_clf__alpha': 0.01},0.6656954156954157,0.6060606060606061,0.6153694790058427
Level1,sum_features_nohelp,0,Logistic regression,0.8107862246140733,"{'logistic_regression_clf__C': 10.0, 'logistic_regression_clf__max_iter': 200}",0.5327823691460055,0.5151515151515151,0.5117845117845118
Level1,sum_features_nohelp,0,SVM,0.8570281071780622,"{'svm_gaussian_clf__C': 100.0, 'svm_gaussian_clf__gamma': 0.1, 'svm_gaussian_clf__kernel': 'rbf'}",0.5394327894327894,0.5151515151515151,0.5112885519584085
Level1,sum_features_nohelp,0,Random Forest,0.859934633613334,"{'random_forest_clf__max_depth': 6, 'random_forest_clf__n_estimators': 200}",0.5722610722610724,0.5454545454545454,0.5309589400498491
Level1,sum_features_nohelp,1,Dummy random,,,0.41157407407407404,0.26666666666666666,0.30670549892517857
Level1,sum_features_nohelp,1,Ordered baseline,,,0.0,0.0,0.0
Level1,sum_features_nohelp,1,Naive Bayes,0.6712828904333199,{'naive_bayes_clf__alpha': 0.01},0.5255555555555556,0.36666666666666664,0.3871031746031745
