level_key,features_set,classifier,K,feature,importance
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_rate_condi_3bran_copied,0.00038296448111261287
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_rate_for_simple_copied,0.03738985966623965
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_rate_for_counter_0_copied,0.001344900729032663
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_rate_for_counter_n_copied,0.0006450581297605174
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_rate_pasted,0.0334614558897556
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,GA_avg_open_chest_loc_error,0.03077268120010459
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,GA_avg_walk_loc_error,0.02476575848246458
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,GA_avg_not_allowed_func_error,0.01034033086835526
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,GA_avg_function_param_error,0.04490815333905934
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,EX_avg_too_many_lines_error,0.009883500563713083
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,EX_avg_syntactic_error,0.0634784687364575
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,EX_avg_semantic_error,0.00819628515562347
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,EX_avg_user_stopped,0.013106332858411777
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,EX_avg_executed,0.05242999665452503
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,EX_std_syntactic_error,0.04214701063500937
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,EX_std_executed,0.035507329359053645
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_avg_var_affect_impl,0.006532686204717423
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_avg_string_impl,0.0029879538469146107
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,CO_avg_for_simple_impl,0.034606972411053226
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,GA_avg_walk_ctr_fun_used,0.04745314343143311
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,GA_avg_left_ctr_fun_used,0.03570172896277741
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,GA_std_walk_ctr_fun_used,0.04839678193570857
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,GA_std_left_ctr_fun_used,0.021882530593794663
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,GA_std_right_ctr_fun_used,0.03778675809346479
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,GA_max_progression,0.051382463609833756
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,3,EX_rate_speed_changed,0.03842465638767795
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_avg_base_disp_time,0.014019238564090151
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_avg_var_disp_time,0.02116189293201569
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_avg_condi_disp_time,0.01819875955231872
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_avg_for_disp_time,0.169758022823704
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_avg_while_disp_time,0.0071629691767644355
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_std_base_disp_time,0.008670535645290212
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_std_condi_disp_time,0.012753294747244754
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_std_while_disp_time,0.004448196198329645
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_rate_code_editor_copied,0.009415762346925382
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_rate_control_function_copied,0.014123697321787435
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_rate_var_creation_copied,0.0017603552719944418
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_rate_var_usage_copied,0.0005064480097481723
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_rate_condi_1bran_copied,0.0002875410359794655
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_rate_condi_2bran_copied,0.0004913094618631364
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_rate_condi_3bran_copied,0.001403153319911846
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_rate_for_simple_copied,0.04007548422074479
Level1,mean_sd_rate_features_nohelp_nosub,Random Forest,4,CO_rate_for_counter_0_copied,0.0030062764232869654
