level_key,features_set,K,classifier,grid_F1,grid_params,precision,recall,f1_score
Level1,mean_rate_features_nohelp_nosub,3,Random Forest,0.7042427002889686,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.7917582417582418,0.8285714285714286,0.7964876730834177
Level1,mean_rate_features_nohelp_nosub,4,Dummy random baseline,,,0.3060533515731874,0.20930232558139536,0.21731325688564995
Level1,mean_rate_features_nohelp_nosub,4,Ordered baseline,,,0.3993478528362249,0.32558139534883723,0.27986325797543304
Level1,mean_rate_features_nohelp_nosub,4,Teacher Ordered baseline,,,0.4879414298018949,0.5813953488372093,0.5302325581395348
Level1,mean_rate_features_nohelp_nosub,4,Naive Bayes,0.514435946390391,{'naive_bayes_clf__alpha': 1.0},0.3794573643410853,0.5348837209302325,0.41011443337024744
Level1,mean_rate_features_nohelp_nosub,4,Logistic regression,0.5845854934978151,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.7269102990033223,0.6511627906976745,0.5976343223736968
Level1,mean_rate_features_nohelp_nosub,4,SVM,0.5594496349739316,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.7415433403805497,0.6744186046511628,0.6344349245206038
Level1,mean_rate_features_nohelp_nosub,4,Random Forest,0.7202984564672013,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.6665743816906607,0.6744186046511628,0.6600630104050078
Level1,mean_sd_rate_ib_no_sub_content_features_keys,0,Dummy random baseline,,,0.26717171717171717,0.24242424242424243,0.24435531788472967
Level1,mean_sd_rate_ib_no_sub_content_features_keys,0,Ordered baseline,,,0.2109090909090909,0.2727272727272727,0.1793831168831169
Level1,mean_sd_rate_ib_no_sub_content_features_keys,0,Teacher Ordered baseline,,,0.4636363636363637,0.5454545454545454,0.4741647241647241
Level1,mean_sd_rate_ib_no_sub_content_features_keys,0,Naive Bayes,0.47876525998123737,{'naive_bayes_clf__alpha': 1.0},0.34175084175084175,0.5151515151515151,0.40093240093240096
Level1,mean_sd_rate_ib_no_sub_content_features_keys,0,Logistic regression,0.63184780400643,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.48622589531680444,0.5454545454545454,0.5019895928986837
Level1,mean_sd_rate_ib_no_sub_content_features_keys,0,SVM,0.6602128966936507,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.4779904306220096,0.5454545454545454,0.4978123480797278
Level1,mean_sd_rate_ib_no_sub_content_features_keys,0,Random Forest,0.7291714763935675,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.44726107226107226,0.48484848484848486,0.4414472220796332
Level1,mean_sd_rate_ib_no_sub_content_features_keys,1,Dummy random baseline,,,0.3271062271062271,0.23333333333333334,0.25858585858585864
Level1,mean_sd_rate_ib_no_sub_content_features_keys,1,Ordered baseline,,,0.606060606060606,0.2,0.2119047619047619
Level1,mean_sd_rate_ib_no_sub_content_features_keys,1,Teacher Ordered baseline,,,0.5121212121212121,0.5666666666666667,0.5140964493905671
Level1,mean_sd_rate_ib_no_sub_content_features_keys,1,Naive Bayes,0.4421133909345983,{'naive_bayes_clf__alpha': 1.0},0.43333333333333335,0.5,0.38199165175909366
Level1,mean_sd_rate_ib_no_sub_content_features_keys,1,Logistic regression,0.5660937234938961,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.6099033816425121,0.6333333333333333,0.5841073271413829
Level1,mean_sd_rate_ib_no_sub_content_features_keys,1,SVM,0.598998305903127,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.6869395711500974,0.7333333333333333,0.701764705882353
Level1,mean_sd_rate_ib_no_sub_content_features_keys,1,Random Forest,0.6437500142702541,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.6917543859649122,0.7333333333333333,0.7006535947712418
Level1,mean_sd_rate_ib_no_sub_content_features_keys,2,Dummy random baseline,,,0.45186813186813185,0.37142857142857144,0.3901587301587302
Level1,mean_sd_rate_ib_no_sub_content_features_keys,2,Ordered baseline,,,0.5817805383022775,0.2857142857142857,0.2820047677190535
Level1,mean_sd_rate_ib_no_sub_content_features_keys,2,Teacher Ordered baseline,,,0.5051759834368531,0.5714285714285714,0.5261224489795918
Level1,mean_sd_rate_ib_no_sub_content_features_keys,2,Naive Bayes,0.46636227215408976,{'naive_bayes_clf__alpha': 1.0},0.5681385281385282,0.6285714285714286,0.5897569097569098
Level1,mean_sd_rate_ib_no_sub_content_features_keys,2,Logistic regression,0.5802463612074704,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.5529220779220779,0.6571428571428571,0.5939100136342979
Level1,mean_sd_rate_ib_no_sub_content_features_keys,2,SVM,0.5926097945827911,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.6991836734693877,0.7142857142857143,0.6770181170181169
Level1,mean_sd_rate_ib_no_sub_content_features_keys,2,Random Forest,0.6728707740563177,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.6588235294117647,0.6571428571428571,0.625024630541872
Level1,mean_sd_rate_ib_no_sub_content_features_keys,3,Dummy random baseline,,,0.37142857142857144,0.22857142857142856,0.27147046501885214
Level1,mean_sd_rate_ib_no_sub_content_features_keys,3,Ordered baseline,,,0.20782608695652174,0.11428571428571428,0.0954715821812596
Level1,mean_sd_rate_ib_no_sub_content_features_keys,3,Teacher Ordered baseline,,,0.8074534161490683,0.8571428571428571,0.831168831168831
Level1,mean_sd_rate_ib_no_sub_content_features_keys,3,Naive Bayes,0.47853171096390684,{'naive_bayes_clf__alpha': 1.0},0.5028571428571429,0.5428571428571428,0.47114845938375344
Level1,mean_sd_rate_ib_no_sub_content_features_keys,3,Logistic regression,0.5578284588256454,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.7605872388481085,0.8,0.7739641311069883
Level1,mean_sd_rate_ib_no_sub_content_features_keys,3,SVM,0.5873992662169096,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.7321428571428571,0.7714285714285715,0.7447619047619047
Level1,mean_sd_rate_ib_no_sub_content_features_keys,3,Random Forest,0.6222948087739377,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.812121212121212,0.8571428571428571,0.8324252491694353
Level1,mean_sd_rate_ib_no_sub_content_features_keys,4,Dummy random baseline,,,0.28251442559888085,0.18604651162790697,0.20504043759857712
Level1,mean_sd_rate_ib_no_sub_content_features_keys,4,Ordered baseline,,,0.3993478528362249,0.32558139534883723,0.27986325797543304
Level1,mean_sd_rate_ib_no_sub_content_features_keys,4,Teacher Ordered baseline,,,0.4879414298018949,0.5813953488372093,0.5302325581395348
Level1,mean_sd_rate_ib_no_sub_content_features_keys,4,Naive Bayes,0.4930470483654849,{'naive_bayes_clf__alpha': 1.0},0.4149177538287011,0.5348837209302325,0.40708855098389984
Level1,mean_sd_rate_ib_no_sub_content_features_keys,4,Logistic regression,0.6080267365873958,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.6916161813562635,0.6744186046511628,0.6273629810961512
Level1,mean_sd_rate_ib_no_sub_content_features_keys,4,SVM,0.588131684182973,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.6241560390097524,0.6511627906976745,0.6148148148148148
Level1,mean_sd_rate_ib_no_sub_content_features_keys,4,Random Forest,0.650701265138949,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.6441860465116279,0.6744186046511628,0.6393447418458388
Level1,mean_sd_rate_oa_features_keys,0,Dummy random baseline,,,0.35298035298035296,0.21212121212121213,0.23762298307752852
Level1,mean_sd_rate_oa_features_keys,0,Ordered baseline,,,0.2109090909090909,0.2727272727272727,0.1793831168831169
Level1,mean_sd_rate_oa_features_keys,0,Teacher Ordered baseline,,,0.4636363636363637,0.5454545454545454,0.4741647241647241
Level1,mean_sd_rate_oa_features_keys,0,Naive Bayes,0.4017064991271896,{'naive_bayes_clf__alpha': 1.0},0.2878787878787879,0.48484848484848486,0.3434343434343434
Level1,mean_sd_rate_oa_features_keys,0,Logistic regression,0.5303726889160643,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.5411501377410468,0.5454545454545454,0.5285450511256963
Level1,mean_sd_rate_oa_features_keys,0,SVM,0.570947521360487,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.6515151515151515,0.5151515151515151,0.4721445221445222
Level1,mean_sd_rate_oa_features_keys,0,Random Forest,0.5675636267951191,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.492929292929293,0.48484848484848486,0.4822171292759528
Level1,mean_sd_rate_oa_features_keys,1,Dummy random baseline,,,0.4318518518518519,0.26666666666666666,0.31212121212121213
Level1,mean_sd_rate_oa_features_keys,1,Ordered baseline,,,0.606060606060606,0.2,0.2119047619047619
Level1,mean_sd_rate_oa_features_keys,1,Teacher Ordered baseline,,,0.5121212121212121,0.5666666666666667,0.5140964493905671
Level1,mean_sd_rate_oa_features_keys,1,Naive Bayes,0.37197348021669374,{'naive_bayes_clf__alpha': 1.0},0.25,0.5,0.3333333333333333
Level1,mean_sd_rate_oa_features_keys,1,Logistic regression,0.5178082324630046,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.25,0.4666666666666667,0.32558139534883723
Level1,mean_sd_rate_oa_features_keys,1,SVM,0.5000065154937475,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.7884615384615384,0.6333333333333333,0.5675630602459871
Level1,mean_sd_rate_oa_features_keys,1,Random Forest,0.5785566780352314,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.6150793650793651,0.6,0.5851851851851851
Level1,mean_sd_rate_oa_features_keys,2,Dummy random baseline,,,0.23896103896103896,0.17142857142857143,0.154435419652811
Level1,mean_sd_rate_oa_features_keys,2,Ordered baseline,,,0.5817805383022775,0.2857142857142857,0.2820047677190535
Level1,mean_sd_rate_oa_features_keys,2,Teacher Ordered baseline,,,0.5051759834368531,0.5714285714285714,0.5261224489795918
Level1,mean_sd_rate_oa_features_keys,2,Naive Bayes,0.3697965792249286,{'naive_bayes_clf__alpha': 1.0},0.23591836734693875,0.4857142857142857,0.31758241758241756
Level1,mean_sd_rate_oa_features_keys,2,Logistic regression,0.4590357309611342,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.6417582417582417,0.6285714285714286,0.590033222591362
Level1,mean_sd_rate_oa_features_keys,2,SVM,0.46253225733101894,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.38571428571428573,0.5142857142857142,0.3914868804664723
Level1,mean_sd_rate_oa_features_keys,2,Random Forest,0.4972370769463792,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.6435374149659864,0.6285714285714286,0.61750089509488
Level1,mean_sd_rate_oa_features_keys,3,Dummy random baseline,,,0.46811997526283244,0.2857142857142857,0.3210601163542339
Level1,mean_sd_rate_oa_features_keys,3,Ordered baseline,,,0.20782608695652174,0.11428571428571428,0.0954715821812596
Level1,mean_sd_rate_oa_features_keys,3,Teacher Ordered baseline,,,0.8074534161490683,0.8571428571428571,0.831168831168831
Level1,mean_sd_rate_oa_features_keys,3,Naive Bayes,0.350683696796458,{'naive_bayes_clf__alpha': 1.0},0.36,0.6,0.44999999999999996
Level1,mean_sd_rate_oa_features_keys,3,Logistic regression,0.5520666601582103,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.5565934065934067,0.6,0.5673758865248226
Level1,mean_sd_rate_oa_features_keys,3,SVM,0.5350521723167185,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.5921269841269842,0.6285714285714286,0.6018742508445027
Level1,mean_sd_rate_oa_features_keys,3,Random Forest,0.5548740643600235,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.6,0.6285714285714286,0.612987012987013
Level1,mean_sd_rate_oa_features_keys,4,Dummy random baseline,,,0.3678940568475452,0.23255813953488372,0.24723509354782308
Level1,mean_sd_rate_oa_features_keys,4,Ordered baseline,,,0.3993478528362249,0.32558139534883723,0.27986325797543304
Level1,mean_sd_rate_oa_features_keys,4,Teacher Ordered baseline,,,0.4879414298018949,0.5813953488372093,0.5302325581395348
Level1,mean_sd_rate_oa_features_keys,4,Naive Bayes,0.37980647135620127,{'naive_bayes_clf__alpha': 1.0},0.28017718715393136,0.5116279069767442,0.3620751341681574
Level1,mean_sd_rate_oa_features_keys,4,Logistic regression,0.492138653921644,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.5673668417104276,0.5581395348837209,0.5218407776547311
Level1,mean_sd_rate_oa_features_keys,4,SVM,0.5567028832006795,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.59391771019678,0.5348837209302325,0.5301903707219322
Level1,mean_sd_rate_oa_features_keys,4,Random Forest,0.5505415576533883,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.5884496124031007,0.5813953488372093,0.5701381867205931
Level1,mean_rate_ib_no_sub_content_features_keys,0,Dummy random baseline,,,0.2090909090909091,0.18181818181818182,0.18374925727866903
Level1,mean_rate_ib_no_sub_content_features_keys,0,Ordered baseline,,,0.2109090909090909,0.2727272727272727,0.1793831168831169
Level1,mean_rate_ib_no_sub_content_features_keys,0,Teacher Ordered baseline,,,0.4636363636363637,0.5454545454545454,0.4741647241647241
Level1,mean_rate_ib_no_sub_content_features_keys,0,Naive Bayes,0.47863990385588134,{'naive_bayes_clf__alpha': 1.0},0.3545454545454545,0.5151515151515151,0.4020436927413672
Level1,mean_rate_ib_no_sub_content_features_keys,0,Logistic regression,0.6180496073524558,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.34573002754820936,0.5151515151515151,0.41368641368641373
Level1,mean_rate_ib_no_sub_content_features_keys,0,SVM,0.6317398653522094,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.36501377410468316,0.5454545454545454,0.4372554372554373
Level1,mean_rate_ib_no_sub_content_features_keys,0,Random Forest,0.7014408262558856,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.4888888888888889,0.5454545454545454,0.49146005509641877
Level1,mean_rate_ib_no_sub_content_features_keys,1,Dummy random baseline,,,0.5847619047619047,0.3,0.3792087542087543
Level1,mean_rate_ib_no_sub_content_features_keys,1,Ordered baseline,,,0.606060606060606,0.2,0.2119047619047619
Level1,mean_rate_ib_no_sub_content_features_keys,1,Teacher Ordered baseline,,,0.5121212121212121,0.5666666666666667,0.5140964493905671
Level1,mean_rate_ib_no_sub_content_features_keys,1,Naive Bayes,0.43277282584242505,{'naive_bayes_clf__alpha': 1.0},0.2413793103448276,0.4666666666666667,0.3181818181818182
Level1,mean_rate_ib_no_sub_content_features_keys,1,Logistic regression,0.5209260061782419,"{'logistic_regression_clf__C': 1.0, 'logistic_regression_clf__max_iter': 200}",0.5972222222222222,0.6333333333333333,0.574660633484163
Level1,mean_rate_ib_no_sub_content_features_keys,1,SVM,0.56026496517689,"{'svm_gaussian_clf__C': 1.0, 'svm_gaussian_clf__gamma': 1.0, 'svm_gaussian_clf__kernel': 'rbf'}",0.6433333333333333,0.7333333333333333,0.6793650793650793
Level1,mean_rate_ib_no_sub_content_features_keys,1,Random Forest,0.6352034132401088,"{'random_forest_clf__max_depth': None, 'random_forest_clf__n_estimators': 100}",0.7222222222222221,0.7666666666666667,0.7353535353535354
Level1,mean_rate_ib_no_sub_content_features_keys,2,Dummy random baseline,,,0.37142857142857144,0.14285714285714285,0.19537414965986394
