level_key,features_set,K,classifier,Precision,Recall,F1_score
Level3,mean_sd_rate_oa_features_keys,0,Naive Bayes,0.28013459408808244,0.41025641025641024,0.33174500425552317
Level3,mean_sd_rate_oa_features_keys,1,Naive Bayes,0.28076923076923077,0.4166666666666667,0.33455882352941174
Level3,mean_sd_rate_oa_features_keys,2,Naive Bayes,0.4592490842490842,0.34615384615384615,0.3002952602952603
Level3,mean_sd_rate_oa_features_keys,3,Naive Bayes,0.39148787720216294,0.37362637362637363,0.3115931687360259
Level3,mean_sd_rate_oa_features_keys,4,Naive Bayes,0.39836099729147856,0.35064935064935066,0.28817292296744357
Level3,mean_sd_rate_oa_features_keys,0,Logistic regression,0.3887667887667888,0.38461538461538464,0.3715999400209926
Level3,mean_sd_rate_oa_features_keys,1,Logistic regression,0.4956963213213213,0.5,0.49193453605218307
Level3,mean_sd_rate_oa_features_keys,2,Logistic regression,0.5038151070202352,0.46153846153846156,0.46945365817914836
Level3,mean_sd_rate_oa_features_keys,3,Logistic regression,0.5336518553909858,0.43956043956043955,0.39987807546047405
Level3,mean_sd_rate_oa_features_keys,4,Logistic regression,0.4315865294126163,0.42857142857142855,0.4225833584122354
Level3,mean_sd_rate_oa_features_keys,0,SVM,0.40441595441595446,0.4230769230769231,0.39055888305157505
Level3,mean_sd_rate_oa_features_keys,1,SVM,0.5293959766520742,0.5,0.49950810838323617
Level3,mean_sd_rate_oa_features_keys,2,SVM,0.5177350427350428,0.4230769230769231,0.4208473231029622
Level3,mean_sd_rate_oa_features_keys,3,SVM,0.3573885598195322,0.4175824175824176,0.37334837462810755
Level3,mean_sd_rate_oa_features_keys,4,SVM,0.6363636363636364,0.4805194805194805,0.4534541089162937
Level3,mean_sd_rate_oa_features_keys,0,Decision Tree,0.37077080296143844,0.358974358974359,0.3482064840760493
Level3,mean_sd_rate_oa_features_keys,1,Decision Tree,0.5429664421599906,0.5,0.505952380952381
Level3,mean_sd_rate_oa_features_keys,2,Decision Tree,0.4332858499525166,0.4358974358974359,0.432357706396168
Level3,mean_sd_rate_oa_features_keys,3,Decision Tree,0.3799391085105371,0.38461538461538464,0.37688278347619003
Level3,mean_sd_rate_oa_features_keys,4,Decision Tree,0.44835983980369,0.42857142857142855,0.4286784643927501
Level3,mean_sd_rate_oa_features_keys,0,Random Forest,0.34092157842157844,0.3333333333333333,0.3317578346132373
Level3,mean_sd_rate_oa_features_keys,1,Random Forest,0.5127987092272807,0.5,0.49600614439324114
Level3,mean_sd_rate_oa_features_keys,2,Random Forest,0.44945448816416556,0.4230769230769231,0.4281335144739475
Level3,mean_sd_rate_oa_features_keys,3,Random Forest,0.5099021857263616,0.5164835164835165,0.500195284356775
Level3,mean_sd_rate_oa_features_keys,4,Random Forest,0.5057720057720058,0.5064935064935064,0.50129863359983
Level3,mean_rate_ib_no_sub_content_features_keys,0,Dummy random baseline,0.20461195724353617,0.1794871794871795,0.18546894889979995
Level3,mean_rate_ib_no_sub_content_features_keys,1,Dummy random baseline,0.22095238095238093,0.21428571428571427,0.2108790364781148
Level3,mean_rate_ib_no_sub_content_features_keys,2,Dummy random baseline,0.24836182336182333,0.21794871794871795,0.226995969158589
Level3,mean_rate_ib_no_sub_content_features_keys,3,Dummy random baseline,0.18999651142508284,0.16483516483516483,0.16848087220236083
Level3,mean_rate_ib_no_sub_content_features_keys,4,Dummy random baseline,0.23299663299663304,0.16883116883116883,0.19139380235321365
Level3,mean_rate_ib_no_sub_content_features_keys,0,Ordered baseline,0.5584269035249427,0.46153846153846156,0.4348097878576833
Level3,mean_rate_ib_no_sub_content_features_keys,1,Ordered baseline,0.5499748047367095,0.4166666666666667,0.4058833678398896
Level3,mean_rate_ib_no_sub_content_features_keys,2,Ordered baseline,0.5667038275733928,0.44871794871794873,0.42632939074926607
Level3,mean_rate_ib_no_sub_content_features_keys,3,Ordered baseline,0.5587912087912088,0.46153846153846156,0.43757959851320394
Level3,mean_rate_ib_no_sub_content_features_keys,4,Ordered baseline,0.611933111933112,0.45454545454545453,0.4358321660872968
Level3,mean_rate_ib_no_sub_content_features_keys,0,Teacher ordered baseline,0.3929110105580694,0.47435897435897434,0.4267399267399267
Level3,mean_rate_ib_no_sub_content_features_keys,1,Teacher ordered baseline,0.4525664811379097,0.5238095238095238,0.48428914835164827
Level3,mean_rate_ib_no_sub_content_features_keys,2,Teacher ordered baseline,0.377910342166195,0.46153846153846156,0.4146647470176882
Level3,mean_rate_ib_no_sub_content_features_keys,3,Teacher ordered baseline,0.3969960960092539,0.4835164835164835,0.43374978196406766
Level3,mean_rate_ib_no_sub_content_features_keys,4,Teacher ordered baseline,0.2934216684216684,0.35064935064935066,0.31295935702715366
Level3,mean_rate_ib_no_sub_content_features_keys,0,Naive Bayes,0.30351170568561875,0.4358974358974359,0.35441112559756627
Level3,mean_rate_ib_no_sub_content_features_keys,1,Naive Bayes,0.3287467756426977,0.4880952380952381,0.3878509351595979
Level3,mean_rate_ib_no_sub_content_features_keys,2,Naive Bayes,0.32194394752534283,0.5,0.39138176638176636
Level3,mean_rate_ib_no_sub_content_features_keys,3,Naive Bayes,0.3654908117092991,0.3956043956043956,0.34727177584320446
Level3,mean_rate_ib_no_sub_content_features_keys,4,Naive Bayes,0.34409769335142465,0.36363636363636365,0.26880275254018604
Level3,mean_rate_ib_no_sub_content_features_keys,0,Logistic regression,0.2951159951159951,0.4230769230769231,0.34668904782756776
Level3,mean_rate_ib_no_sub_content_features_keys,1,Logistic regression,0.3336182336182336,0.5,0.40008190008190003
Level3,mean_rate_ib_no_sub_content_features_keys,2,Logistic regression,0.3414918414918415,0.5256410256410257,0.4139835304218866
Level3,mean_rate_ib_no_sub_content_features_keys,3,Logistic regression,0.42099887292194976,0.43956043956043955,0.3829006158676488
Level3,mean_rate_ib_no_sub_content_features_keys,4,Logistic regression,0.5286704820603126,0.4155844155844156,0.3471540804874138
Level3,mean_rate_ib_no_sub_content_features_keys,0,SVM,0.6407706876456877,0.47435897435897434,0.4183429564785497
Level3,mean_rate_ib_no_sub_content_features_keys,1,SVM,0.4590626340626341,0.5357142857142857,0.44613433922644447
Level3,mean_rate_ib_no_sub_content_features_keys,2,SVM,0.32515473032714415,0.5,0.3933066933066934
Level3,mean_rate_ib_no_sub_content_features_keys,3,SVM,0.3578867737906639,0.37362637362637363,0.3334821906231248
Level3,mean_rate_ib_no_sub_content_features_keys,4,SVM,0.3350894388630238,0.45454545454545453,0.36217116217116224
Level3,mean_rate_ib_no_sub_content_features_keys,0,Decision Tree,0.3584952084952085,0.34615384615384615,0.34198798036878997
Level3,mean_rate_ib_no_sub_content_features_keys,1,Decision Tree,0.36564125650260104,0.35714285714285715,0.3547853821663346
Level3,mean_rate_ib_no_sub_content_features_keys,2,Decision Tree,0.43517568850902183,0.4358974358974359,0.43398936626361373
Level3,mean_rate_ib_no_sub_content_features_keys,3,Decision Tree,0.3941391941391941,0.37362637362637363,0.38078588078588077
Level3,mean_rate_ib_no_sub_content_features_keys,4,Decision Tree,0.41732695409166004,0.38961038961038963,0.3933841520798042
Level3,mean_rate_ib_no_sub_content_features_keys,0,Random Forest,0.4760452760452761,0.48717948717948717,0.46477183752196166
Level3,mean_rate_ib_no_sub_content_features_keys,1,Random Forest,0.5016697588126159,0.4880952380952381,0.4685957716419901
Level3,mean_rate_ib_no_sub_content_features_keys,2,Random Forest,0.4501417860392219,0.48717948717948717,0.4540446557990418
